CENTRO_CUSTO_DSC;JANEIRO;FEVEREIRO;MARCO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;
ADMINISTRATIVO/FINANCEIRO;161.490,44;109.326,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
CAPTAÇÃO DE CONTRATOS;45.286,83;40.475,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
COMERCIAL;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
COMPLIANCE;1.683,42;2.607,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
COMUNICAÇÃO/MARKETING;11.127,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
JURIDICO;37.819,79;37.236,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SAI;57.057,78;60.461,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SEJ;70.414,24;12.734,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SIAM;19.215,77;27.587,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SIGAD/SISGED;6.690,66;7.385,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SIGEM;20.364,11;3.376,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SOS;25.383,69;11.372,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SUCURSAL AL;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SUCURSAL CE;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SUCURSAL MG;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SUCURSAL PB;6.370,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
SUCURSAL SE;21.237,48;15.491,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
TECNOLOGIA DA INFORMAÇÃO;89.706,66;55.224,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
